EmpID,MarriedID,MaritalStatusID,GenderID,EmpStatusID,DeptID,PerfScoreID,FromDiversityJobFairID,PayRate,Termd,PositionID,Position,State,Zip,DOB,Sex,MaritalDesc,CitizenDesc,HispanicLatino,RaceDesc,DateofHire,DateofTermination,TermReason,EmploymentStatus,Department,ManagerName,ManagerID,RecruitmentSource,PerformanceScore,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount,LastPerformanceReview_Date,DaysLateLast30,Original DS,LastName_Employee,FirstName_Employee
1988299991,0,3,0,1,3,3,0,39.0,0,14,ITSupport,MA,2472.0,1981-04-16 00:00:00,F,Separated,USCitizen,Yes,White,2015-05-01 00:00:00,Unknown,N/A-stillemployed,Active,IT/IS,PeterMonroe,7.0,EmployeeReferral,FullyMeets,4.61,4,5,2019-01-28 00:00:00,0.0,Orig,Gonzalez,Maria
1599991009,0,0,1,1,5,3,0,15.0,0,19,ProductionTechnicianI,MA,2452.0,1977-09-08 00:00:00,M ,Single,USCitizen,No,White,2013-08-07 00:00:00,Unknown,N/A-stillemployed,Active,Production       ,DavidStanley,14.0,EmployeeReferral,FullyMeets,1.51,5,0,2019-01-14 00:00:00,0.0,Orig,Cockel,James
1504073368,1,1,0,5,6,3,0,55.0,1,3,AreaSalesManager,VA,21851.0,1964-06-01 00:00:00,F,Married,EligibleNonCitizen,No,BlackorAfricanAmerican,Unknown,2014-02-08 00:00:00,Anotherposition,VoluntarilyTerminated,Sales,JohnSmith,17.0,SocialNetworks-FacebookTwitteretc,FullyMeets,3.14,5,0,Unknown,Unknown,Orig,Bunbury,Jessica
1504073313,1,1,1,1,6,3,0,55.0,0,3,AreaSalesManager,MA,2330.0,1975-07-07 00:00:00,M ,Married,USCitizen,No,White,Unknown,Unknown,N/A-stillemployed,Active,Sales,LynnDaneault,21.0,EmployeeReferral,FullyMeets,3.31,5,0,2019-01-28 00:00:00,0.0,Orig,Buck,Edward
1503072857,0,2,0,1,5,3,0,21.0,0,19,ProductionTechnicianI,MA,1778.0,1966-03-22 00:00:00,F,Divorced,USCitizen,No,White,Unknown,Unknown,N/A-stillemployed,Active,Production       ,KissySullivan,20.0,EmployeeReferral,FullyMeets,2.05,5,0,2019-02-22 00:00:00,0.0,Orig,Jacobi,Hannah
1502072711,0,3,1,1,6,4,0,55.0,0,3,AreaSalesManager,ND,58782.0,1968-01-15 00:00:00,M ,Separated,USCitizen,No,White,2006-09-01 00:00:00,Unknown,N/A-stillemployed,Active,Sales,LynnDaneault,21.0,Billboard,Exceeds,4.1,3,0,2019-01-04 00:00:00,0.0,Orig,Riordan,Michael
1502072511,1,1,0,5,5,3,0,20.0,1,19,ProductionTechnicianI,MA,2176.0,1955-04-14 00:00:00,F,Married,USCitizen,No,White,2011-07-11 00:00:00,Unknown,military,VoluntarilyTerminated,Production       ,WebsterButler,39.0,SearchEngine-GoogleBingYahoo,FullyMeets,3.13,3,0,Unknown,Unknown,Orig,Ferguson,Susan
1501072311,0,2,1,1,5,3,0,54.5,0,17,ProductionManager,MA,2169.0,1968-10-10 00:00:00,M ,Divorced,USCitizen,No,White,2011-01-08 00:00:00,Unknown,N/A-stillemployed,Active,Production       ,JanetKing,2.0,EmployeeReferral,FullyMeets,3.93,3,0,2019-02-27 00:00:00,0.0,Orig,Albert,Michael
1501072192,1,1,0,1,5,3,0,19.0,0,19,ProductionTechnicianI,MA,2145.0,1990-10-01 00:00:00,F,Married,USCitizen,No,BlackorAfricanAmerican,Unknown,Unknown,N/A-stillemployed,Active,Production       ,MichaelAlbert,22.0,ProfessionalSociety,FullyMeets,3.73,3,0,2019-01-16 00:00:00,0.0,Orig,Gentry,Mildred
1501072180,0,0,0,1,6,3,0,57.0,0,3,AreaSalesManager,FL,33174.0,1990-05-11 00:00:00,F,Single,USCitizen,Yes,White,Unknown,Unknown,N/A-stillemployed,Active,Sales,LynnDaneault,21.0,PayPerClick-Google,FullyMeets,4.28,3,0,2019-01-25 00:00:00,0.0,Orig,Onque,Jasmine
1501072124,1,1,1,1,5,1,0,20.0,0,19,ProductionTechnicianI,MA,2061.0,1967-04-19 00:00:00,M ,Married,USCitizen,No,White,2014-07-07 00:00:00,Unknown,N/A-stillemployed,Active,Production       ,AmyDunn,11.0,ProfessionalSociety,PIP,1.12,2,0,2019-01-31 00:00:00,0.0,Orig,Desimone,Carl
1501072093,0,0,0,1,3,3,0,31.4,0,14,ITSupport,CT,6040.0,1968-07-06 00:00:00,F,Single,USCitizen,No,White,2010-01-05 00:00:00,Unknown,N/A-stillemployed,Active,IT/IS,EricDougall,6.0,VendorReferral,FullyMeets,1.21,4,5,2019-02-01 00:00:00,0.0,Orig,Galia,Lisa
1501071909,0,0,0,1,5,3,0,24.5,0,19,ProductionTechnicianI,MA,2130.0,1965-02-02 00:00:00,F,Single,USCitizen,No,White,2013-11-11 00:00:00,Unknown,N/A-stillemployed,Active,Production       ,KetsiaLiebig,19.0,EmployeeReferral,FullyMeets,3.73,3,0,2019-01-24 00:00:00,0.0,Orig,Smith,Sade
1499902991,1,1,1,5,5,3,0,22.0,1,20,ProductionTechnicianII,MA,2138.0,1972-07-03 00:00:00,M ,Married,USCitizen,No,White,2011-05-07 00:00:00,2012-08-02 00:00:00,Anotherposition,VoluntarilyTerminated,Production       ,KissySullivan,20.0,Glassdoor,FullyMeets,2.48,5,0,Unknown,Unknown,Orig,Robertson,Peter
1499902910,0,2,1,1,6,2,1,56.0,0,21,SalesManager,MA,1886.0,1984-08-16 00:00:00,M ,Divorced,USCitizen,No,BlackorAfricanAmerican,Unknown,Unknown,N/A-stillemployed,Active,Sales,DebraHoulihan,15.0,DiversityJobFair,NeedsImprovement,1.62,4,0,2019-01-16 00:00:00,0.0,Orig,Smith,John
1412071844,0,2,0,1,5,3,0,22.0,0,19,ProductionTechnicianI,MA,2027.0,1958-12-27 00:00:00,F,Divorced,USCitizen,No,Asian,Unknown,Unknown,N/A-stillemployed,Active,Production       ,KetsiaLiebig,19.0,Billboard,FullyMeets,2.39,3,0,2019-01-10 00:00:00,0.0,Orig,Biden,Lowan  M
1412071713,0,3,0,1,5,3,0,19.0,0,19,ProductionTechnicianI,MA,2109.0,1964-04-13 00:00:00,F,Separated,USCitizen,No,White,2014-06-01 00:00:00,Unknown,N/A-stillemployed,Active,Production       ,KelleySpirea,18.0,On-campusRecruiting,FullyMeets,5.0,5,0,2019-01-21 00:00:00,0.0,Orig,Jhaveri,Sneha
1412071660,0,3,1,1,6,3,0,55.0,0,3,AreaSalesManager,UT,84111.0,1988-12-27 00:00:00,M ,Separated,USCitizen,No,BlackorAfricanAmerican,Unknown,Unknown,N/A-stillemployed,Active,Sales,JohnSmith,17.0,WebsiteBannerAds,FullyMeets,4.53,3,0,2019-01-29 00:00:00,0.0,Orig,Leruth,Giovanni
1412071562,0,0,1,4,3,3,0,58.2,1,30,EnterpriseArchitect,CT,6033.0,1964-07-30 00:00:00,M ,Single,USCitizen,No,BlackorAfricanAmerican,Unknown,Unknown,hours,TerminatedforCause,IT/IS,SimonRoup,4.0,VendorReferral,FullyMeets,2.94,5,7,Unknown,Unknown,Orig,Favis,Donald
1411071506,1,1,1,1,3,3,0,49.1,0,15,NetworkEngineer,MA,2343.0,1969-03-31 00:00:00,M ,Married,EligibleNonCitizen,No,White,Unknown,Unknown,N/A-stillemployed,Active,IT/IS,PeterMonroe,7.0,EmployeeReferral,FullyMeets,5.0,4,7,2019-01-14 00:00:00,0.0,Orig,Turpin,Jumil
1411071481,1,1,1,1,6,3,0,55.5,0,3,AreaSalesManager,ID,83706.0,1954-10-12 00:00:00,M ,Married,USCitizen,No,White,2014-12-05 00:00:00,Unknown,N/A-stillemployed,Active,Sales,JohnSmith,17.0,Monster.com,FullyMeets,3.98,3,0,2019-01-28 00:00:00,0.0,Orig,Gonzales,Ricardo
1411071406,1,1,0,5,5,4,0,29.0,1,20,ProductionTechnicianII,MA,1886.0,1986-08-17 00:00:00,F,Married,USCitizen,No,White,Unknown,2012-04-02 00:00:00,moremoney,VoluntarilyTerminated,Production       ,KetsiaLiebig,19.0,PayPerClick-Google,Exceeds,1.79,5,0,Unknown,Unknown,Orig,Peters,Lauren
1411071324,1,1,1,5,5,1,1,29.0,1,20,ProductionTechnicianII,MA,2128.0,1964-10-12 00:00:00,M ,Married,USCitizen,No,BlackorAfricanAmerican,Unknown,Unknown,careerchange,VoluntarilyTerminated,Production       ,BrannonMiller,12.0,DiversityJobFair,PIP,4.35,3,0,Unknown,Unknown,Orig,Gonzalez,Juan
1411071312,1,1,0,3,3,3,0,54.1,0,28,Sr.NetworkEngineer,CT,6033.0,1952-01-18 00:00:00,F,Married,USCitizen,No,White,2014-10-11 00:00:00,Unknown,N/A-stillemployed,LeaveofAbsence,IT/IS,PeterMonroe,7.0,VendorReferral,FullyMeets,1.55,5,8,2019-02-12 00:00:00,0.0,Orig,Daniele,Ann
1411071302,0,0,1,1,6,3,0,55.0,0,3,AreaSalesManager,CT,6050.0,1963-08-28 00:00:00,M ,Single,USCitizen,No,BlackorAfricanAmerican,2011-06-09 00:00:00,Unknown,N/A-stillemployed,Active,Sales,LynnDaneault,21.0,Monster.com,FullyMeets,1.64,3,0,2019-01-27 00:00:00,0.0,Orig,Fraval,Maruk
1411071295,1,1,0,1,6,3,0,54.0,0,3,AreaSalesManager,MT,59102.0,1989-05-12 00:00:00,F,Married,USCitizen,No,BlackorAfricanAmerican,Unknown,Unknown,N/A-stillemployed,Active,Sales,JohnSmith,17.0,ProfessionalSociety,FullyMeets,2.0,4,0,2019-01-31 00:00:00,0.0,Orig,Strong,Caitrin
1411071212,0,2,1,1,5,4,1,16.0,0,19,ProductionTechnicianI,MA,2108.0,1969-09-29 00:00:00,M ,Divorced,USCitizen,No,AmericanIndianorAlaskaNative,2011-11-07 00:00:00,Unknown,N/A-stillemployed,Active,Production       ,BrannonMiller,12.0,DiversityJobFair,Exceeds,1.83,4,0,2019-02-18 00:00:00,0.0,Orig,Gonzalez,Cayo
1410071156,1,1,1,4,3,3,0,40.1,1,8,DatabaseAdministrator,MA,1960.0,1986-08-07 00:00:00,M ,Married,USCitizen,No,BlackorAfricanAmerican,Unknown,Unknown,"no-call,no-show",TerminatedforCause,IT/IS,SimonRoup,4.0,EmployeeReferral,FullyMeets,4.33,3,7,Unknown,Unknown,Orig,Hernandez,Daniff
1410071137,1,1,0,1,5,1,0,16.0,0,19,ProductionTechnicianI,MA,2093.0,1968-07-20 00:00:00,F,Married,USCitizen,No,White,Unknown,Unknown,N/A-stillemployed,Active,Production       ,BrannonMiller,12.0,Billboard,PIP,4.11,2,0,2019-02-25 00:00:00,0.0,Orig,Sparks,Taylor
1410071026,1,1,0,5,5,3,1,33.5,1,18,ProductionManager,MA,2478.0,1955-11-14 00:00:00,F,Married,USCitizen,No,BlackorAfricanAmerican,Unknown,2012-02-01 00:00:00,Anotherposition,VoluntarilyTerminated,Production       ,JanetKing,2.0,DiversityJobFair,FullyMeets,1.18,3,0,Unknown,Unknown,Orig,Wallace,Courtney  E
1410070998,0,0,0,2,5,2,1,20.0,0,19,ProductionTechnicianI,MA,1801.0,1968-06-06 00:00:00,F,Single,USCitizen,No,BlackorAfricanAmerican,2016-04-07 00:00:00,Unknown,N/A-Hasnotstartedyet,FutureStart,Production       ,KelleySpirea,18.0,DiversityJobFair,NeedsImprovement,1.12,4,0,2019-02-18 00:00:00,0.0,Orig,Saar-Beckles,Melinda
1409070567,0,0,0,1,6,4,0,55.0,0,3,AreaSalesManager,CA,90007.0,1988-11-08 00:00:00,F,Single,USCitizen,No,White,2011-10-01 00:00:00,Unknown,N/A-stillemployed,Active,Sales,LynnDaneault,21.0,Other,Exceeds,4.77,5,0,2019-01-27 00:00:00,0.0,Orig,Costa,Latia
